wavelength,reflectance
959,0.979805259
960,0.97981357
961,0.97981589
962,0.97982053
963,0.979827924
964,0.97983533
965,0.979843945
966,0.979851548
967,0.979859231
968,0.979867005
969,0.979874104
970,0.97988238
971,0.97988991
972,0.979897069
973,0.979906133
974,0.979911943
975,0.979916418
976,0.979921916
977,0.979928912
978,0.979935543
979,0.979942202
980,0.979949314
981,0.979956486
982,0.979962766
983,0.979966563
984,0.979969237
985,0.979972935
986,0.979976768
987,0.979980169
988,0.979983955
989,0.9799889
990,0.979995264
991,0.980002403
992,0.980008974
993,0.980014385
994,0.980019416
995,0.98002616
996,0.980032891
997,0.980038624
998,0.980046221
999,0.980053223
1000,0.980059538
1001,0.980066451
1002,0.980074731
1003,0.980082483
1004,0.98009078
1005,0.980099485
1006,0.980107715
1007,0.980116954
1008,0.980126974
1009,0.980135988
1010,0.980144228
1011,0.980158508
1012,0.980172629
1013,0.980184615
1014,0.980196714
1015,0.980207509
1016,0.980217887
1017,0.980228477
1018,0.98023973
1019,0.980252064
1020,0.980264068
1021,0.980276198
1022,0.98028832
1023,0.980298291
1024,0.980310353
1025,0.980322431
1026,0.980334343
1027,0.980347183
1028,0.980360649
1029,0.98037388
1030,0.980386842
1031,0.980399504
1032,0.980411146
1033,0.980422657
1034,0.980434331
1035,0.980445923
1036,0.980457144
1037,0.980468276
1038,0.980479064
1039,0.980489499
1040,0.980499867
1041,0.980510293
1042,0.980520318
1043,0.980530005
1044,0.980539689
1045,0.980549322
1046,0.980558625
1047,0.980567961
1048,0.980577363
1049,0.980586376
1050,0.980595518
1051,0.980605008
1052,0.980615099
1053,0.980625299
1054,0.980635261
1055,0.980645156
1056,0.980654366
1057,0.980663129
1058,0.980671678
1059,0.98068034
1060,0.980689397
1061,0.980699009
1062,0.980709119
1063,0.980719624
1064,0.980730375
1065,0.980741458
1066,0.98075294
1067,0.980764769
1068,0.980776589
1069,0.980787949
1070,0.980799374
1071,0.980811289
1072,0.980823599
1073,0.980836484
1074,0.980850365
1075,0.980864687
1076,0.980879022
1077,0.980893096
1078,0.980906821
1079,0.980920397
1080,0.98093356
1081,0.980946546
1082,0.980959969
1083,0.980973161
1084,0.980986085
1085,0.980998696
1086,0.981011354
1087,0.981023836
1088,0.981036216
1089,0.981048853
1090,0.981061136
1091,0.98107225
1092,0.981083155
1093,0.981093966
1094,0.981104692
1095,0.981115848
1096,0.981127422
1097,0.981139232
1098,0.981151046
1099,0.981162829
1100,0.981174388
1101,0.981185533
1102,0.981195708
1103,0.981205389
1104,0.981215009
1105,0.98122425
1106,0.981233499
1107,0.981242642
1108,0.981251258
1109,0.981259723
1110,0.981268066
1111,0.981276149
1112,0.981284057
1113,0.981291749
1114,0.981299049
1115,0.981305963
1116,0.981312719
1117,0.981319313
1118,0.981325844
1119,0.981332933
1120,0.981340229
1121,0.981347336
1122,0.981354504
1123,0.981361509
1124,0.981368142
1125,0.981374647
1126,0.981380837
1127,0.981386484
1128,0.98139155
1129,0.981396233
1130,0.981400644
1131,0.98140488
1132,0.981408898
1133,0.981412415
1134,0.981415476
1135,0.981417862
1136,0.981419368
1137,0.981420108
1138,0.981420183
1139,0.981419145
1140,0.981417155
1141,0.981414988
1142,0.981412239
1143,0.981408692
1144,0.981404567
1145,0.981399757
1146,0.981393904
1147,0.981386967
1148,0.981379211
1149,0.981370673
1150,0.981361301
1151,0.981351229
1152,0.981340414
1153,0.981328416
1154,0.981315221
1155,0.98130106
1156,0.981285863
1157,0.981269956
1158,0.981253644
1159,0.981236752
1160,0.981219321
1161,0.981201311
1162,0.981182593
1163,0.981163321
1164,0.981143594
1165,0.981123463
1166,0.981103165
1167,0.981082805
1168,0.981062275
1169,0.98104143
1170,0.981020634
1171,0.980999902
1172,0.980979017
1173,0.98095827
1174,0.98093763
1175,0.980916976
1176,0.980896486
1177,0.980876452
1178,0.980856811
1179,0.980837545
1180,0.980818788
1181,0.980800425
1182,0.980782143
1183,0.980764098
1184,0.980746295
1185,0.980728747
1186,0.980711641
1187,0.980695056
1188,0.980678791
1189,0.980663042
1190,0.980648002
1191,0.980633644
1192,0.980619858
1193,0.980606802
1194,0.98059426
1195,0.980582231
1196,0.980570679
1197,0.980560023
1198,0.980550304
1199,0.980541469
1200,0.980533619
1201,0.980526594
1202,0.980520593
1203,0.980515869
1204,0.980512224
1205,0.980509707
1206,0.980508303
1207,0.98050783
1208,0.980508253
1209,0.980509679
1210,0.980511926
1211,0.980515289
1212,0.980519903
1213,0.980525758
1214,0.980532809
1215,0.980540957
1216,0.980549826
1217,0.980559271
1218,0.980569333
1219,0.980579894
1220,0.980590756
1221,0.980601965
1222,0.980613724
1223,0.980625849
1224,0.980638366
1225,0.980651287
1226,0.980664364
